Date,close price
15-04-2015 0:00,223.57
16-04-2015 0:00,228.11
17-04-2015 0:00,222.23
18-04-2015 0:00,222.84
19-04-2015 0:00,221.69
20-04-2015 0:00,224.31
21-04-2015 0:00,235.81
22-04-2015 0:00,233.92
23-04-2015 0:00,235.56
24-04-2015 0:00,230.79
25-04-2015 0:00,225.85
26-04-2015 0:00,218.81
27-04-2015 0:00,228.5
28-04-2015 0:00,225.68
29-04-2015 0:00,225.98
30-04-2015 0:00,236.57
01-05-2015 0:00,232.12
02-05-2015 0:00,234.9
03-05-2015 0:00,240.12
04-05-2015 0:00,238.77
05-05-2015 0:00,236.55
06-05-2015 0:00,230.05
07-05-2015 0:00,237.78
08-05-2015 0:00,243.39
09-05-2015 0:00,240.48
10-05-2015 0:00,239.63
11-05-2015 0:00,241.85
12-05-2015 0:00,240.99
13-05-2015 0:00,235.8
14-05-2015 0:00,236.74
15-05-2015 0:00,237.31
16-05-2015 0:00,235.73
17-05-2015 0:00,236.1
18-05-2015 0:00,232.87
19-05-2015 0:00,231.94
20-05-2015 0:00,234.25
21-05-2015 0:00,235.3
22-05-2015 0:00,240.52
23-05-2015 0:00,239.03
24-05-2015 0:00,241.19
25-05-2015 0:00,237.49
26-05-2015 0:00,237.33
27-05-2015 0:00,237.18
28-05-2015 0:00,237.47
29-05-2015 0:00,237.1
30-05-2015 0:00,233.29
31-05-2015 0:00,230
01-06-2015 0:00,223.31
02-06-2015 0:00,225.75
03-06-2015 0:00,225.65
04-06-2015 0:00,224.37
05-06-2015 0:00,225.04
06-06-2015 0:00,225.68
07-06-2015 0:00,223.39
08-06-2015 0:00,228.65
09-06-2015 0:00,229.33
10-06-2015 0:00,228.95
11-06-2015 0:00,230.02
12-06-2015 0:00,230.2
13-06-2015 0:00,232.75
14-06-2015 0:00,233.85
15-06-2015 0:00,237.31
16-06-2015 0:00,250.9
17-06-2015 0:00,249.17
18-06-2015 0:00,248.87
19-06-2015 0:00,243.55
20-06-2015 0:00,245.26
21-06-2015 0:00,244.01
22-06-2015 0:00,246.77
23-06-2015 0:00,243.99
24-06-2015 0:00,240.22
25-06-2015 0:00,242.42
26-06-2015 0:00,242.64
27-06-2015 0:00,250.71
28-06-2015 0:00,248.07
29-06-2015 0:00,256.49
30-06-2015 0:00,262.48
01-07-2015 0:00,257.66
02-07-2015 0:00,254.35
